datetime,value
2024-05-01T12:00:00Z,3258.0
2024-05-01T18:00:00Z,3067.0
2024-05-02T00:00:00Z,2779.0
2024-05-02T06:00:00Z,2358.0
2024-05-02T12:00:00Z,3277.0
2024-05-02T18:00:00Z,3215.0
2024-05-03T00:00:00Z,2025.0
2024-05-03T06:00:00Z,2311.0
2024-05-03T12:00:00Z,3000.0
2024-05-03T18:00:00Z,2867.0
2024-05-04T00:00:00Z,2462.0
2024-05-04T06:00:00Z,1556.0
2024-05-04T12:00:00Z,1662.0
2024-05-04T18:00:00Z,1557.0
2024-05-05T00:00:00Z,1228.0
2024-05-05T06:00:00Z,1062.0
2024-05-05T12:00:00Z,1874.0
2024-05-05T18:00:00Z,1991.0
2024-05-06T00:00:00Z,1853.0
2024-05-06T06:00:00Z,2504.0
2024-05-06T12:00:00Z,3029.0
2024-05-06T18:00:00Z,3246.0
2024-05-07T00:00:00Z,2237.0
2024-05-07T06:00:00Z,2287.0
2024-05-07T12:00:00Z,2766.0
2024-05-07T18:00:00Z,2414.0
2024-05-08T00:00:00Z,1393.0
2024-05-08T06:00:00Z,2435.0
2024-05-08T12:00:00Z,2715.0
2024-05-08T18:00:00Z,2554.0
2024-05-09T00:00:00Z,1993.0
2024-05-09T06:00:00Z,2171.0
2024-05-09T12:00:00Z,3140.0
2024-05-09T18:00:00Z,2103.0
2024-05-10T00:00:00Z,1643.0
2024-05-10T06:00:00Z,2010.0
2024-05-10T12:00:00Z,2643.0
2024-05-10T18:00:00Z,2068.0
2024-05-11T00:00:00Z,1823.0
2024-05-11T06:00:00Z,1805.0
2024-05-11T12:00:00Z,1772.0
2024-05-11T18:00:00Z,1485.0
2024-05-12T00:00:00Z,1062.0
2024-05-12T06:00:00Z,1394.0
2024-05-12T12:00:00Z,1560.0
2024-05-12T18:00:00Z,1306.0
2024-05-13T00:00:00Z,1780.0
2024-05-13T06:00:00Z,2627.0
2024-05-13T12:00:00Z,2695.0
2024-05-13T18:00:00Z,2834.0
2024-05-14T00:00:00Z,1707.0
2024-05-14T06:00:00Z,1862.0
2024-05-14T12:00:00Z,2989.0
2024-05-14T18:00:00Z,1963.0
2024-05-15T00:00:00Z,2276.0
2024-05-15T06:00:00Z,2045.0
2024-05-15T12:00:00Z,4581.0
2024-05-15T18:00:00Z,2855.0
2024-05-16T00:00:00Z,1957.0
2024-05-16T06:00:00Z,2605.0
2024-05-16T12:00:00Z,2663.0
2024-05-16T18:00:00Z,2402.0
2024-05-17T00:00:00Z,1626.0
2024-05-17T06:00:00Z,2016.0
2024-05-17T12:00:00Z,3089.0
2024-05-17T18:00:00Z,2193.0
